,Link,Name,Image-link,Price,Description
52,https://www.ebay.com/itm/362174891364?hash=item54534e4564:g:UKoAAOSwNt1aflGD,Barska 30070 - 225 Power Starwatcher Telescope AE12932,https://i.ebayimg.com/thumbs/images/g/UKoAAOSwNt1aflGD/s-l225.jpg,$69.99,Brand New
53,https://www.ebay.com/itm/392028526416?epid=56511565&hash=item5b46b89750:g:yoUAAOSwyi1a4Rad,"Barska 700X60mm 70060 Starwatcher Refractor Telescope w/ Tripod, AE10750",https://i.ebayimg.com/thumbs/images/g/yoUAAOSwyi1a4Rad/s-l225.jpg,$89.99,Brand New
54,https://www.ebay.com/itm/264961432064?hash=item3db0ee9a00:g:c0gAAOSwDnpfx8AH,150X 70mm Aperture Astronomical Telescope Refractor Tripod Finder For Beginner,https://i.ebayimg.com/thumbs/images/g/c0gAAOSwDnpfx8AH/s-l225.jpg,$56.99,Brand New
55,https://www.ebay.com/itm/164817485498?hash=item265fe33eba:g:siUAAOSwleNgeU6k,Zoom Monocular Telescope Compact Waterproof Telescope for  Camping Bird Watching,https://i.ebayimg.com/thumbs/images/g/siUAAOSwleNgeU6k/s-l225.jpg,$20.47,Brand New
56,https://www.ebay.com/itm/255639019628?hash=item3b8545e06c:g:KscAAOSwh85i2GoN,Edmund Scientifics AstroScan Telescope Carry Tote Bag with Strap New 30020-04,https://i.ebayimg.com/thumbs/images/g/KscAAOSwh85i2GoN/s-l225.jpg,$44.95,Brand New
57,https://www.ebay.com/itm/224549773697?hash=item344835a181:g:c~MAAOSw5FZhAF~G,Antique 19C Bardou & Sons Paris France 33X Rifle Range Brass + Leather Telescope,https://i.ebayimg.com/thumbs/images/g/c~MAAOSw5FZhAF~G/s-l225.jpg,$157.24,Pre-Owned
58,https://www.ebay.com/itm/115205034043?hash=item1ad2c1503b:g:VK8AAOSwSLlh5729,2PC 70mm K9 Optical Glass Lens Focal Length -150mm Optics Double Concave Lens,https://i.ebayimg.com/thumbs/images/g/VK8AAOSwSLlh5729/s-l225.jpg,$22.79,Brand New
59,https://www.ebay.com/itm/133473949103?hash=item1f13aad5af:g:A-UAAOSwcS9fG8Lq,JASON ZOOM TELESCOPE IN BOX VINTAGE 13X TO 40X with tripod,https://i.ebayimg.com/thumbs/images/g/A-UAAOSwcS9fG8Lq/s-l225.jpg,$45.00,Pre-Owned
60,https://www.ebay.com/itm/384646188581?hash=item598eb30e25:g:AT0AAOSwJ2thzffh,"AmScope Refractor EQ Telescope 60mm Aperture, 800mm Focal Length +Red Dot Finder",https://i.ebayimg.com/thumbs/images/g/AT0AAOSwJ2thzffh/s-l225.jpg,$159.99,Brand New
61,https://www.ebay.com/itm/265212020191?hash=item3dbfde45df:g:p0IAAOSwrchg2oOB,"1.25""Binoviewer Binocular Viewer Telescopes Monocular Turn to Binoculars Adapter",https://i.ebayimg.com/thumbs/images/g/p0IAAOSwrchg2oOB/s-l225.jpg,$142.40,Brand New
62,https://www.ebay.com/itm/275373437345?hash=item401d8931a1:g:bd4AAOSwtpNiwupv,MaxU-SOO Telescope Model 40070 With Tripod - K1,https://i.ebayimg.com/thumbs/images/g/bd4AAOSwtpNiwupv/s-l225.jpg,$45.00,Pre-Owned
63,https://www.ebay.com/itm/255177956064?hash=item3b69ca9ae0:g:5rkAAOSwScFg7RAN,Universal 8X Monocular Mobile Phone Telescope Cellphone Lens with Clip,https://i.ebayimg.com/thumbs/images/g/5rkAAOSwScFg7RAN/s-l225.jpg,$9.90,Brand New
64,https://www.ebay.com/itm/144351225443?hash=item219c00e663:g:8rwAAOSwNk5hzgE3,"AmScope Refractor ALT-AZ 90mm Aperture, 600mm Focal Length +Red Dot Finder",https://i.ebayimg.com/thumbs/images/g/8rwAAOSwNk5hzgE3/s-l225.jpg,$239.99,Brand New
65,https://www.ebay.com/itm/144351203254?hash=item219c008fb6:g:g9EAAOSwxkhhzfpf,"AmScope Refractor EQ Telescope 70mm Aperture, 900mm Focal Length +Red Dot Finder",https://i.ebayimg.com/thumbs/images/g/g9EAAOSwxkhhzfpf/s-l225.jpg,$169.99,Brand New
66,https://www.ebay.com/itm/144327983060?hash=item219a9e3fd4:g:hEwAAOSwMGFhtX5N&amdata=enc%3AAQAHAAAA4LDiAWZBajmxuPT0V5i8JXdeeXuFG%2BatXpdW653CW4SBENmWXfXl8OIlT1lxpOzg9KLS1apdmo4YhXf4r%2B%2B7x3NDLkBrk3u%2Bkel0peHJtvSIBrZlTuAhkonQH62%2Fz7LQGXz1CiysXBgz%2BSU9CYu0T8J5lUVtT6BaLq25CdFKFhtqQBpTJBYBqUf%2Fw8qnl4D9zkhJwRO7pS%2Bdu%2Bz%2FfK1d0ExAiOukF7Bnq2TxY%2BNCmFMJFE%2B7bRJwNgD4WRaPTqOCAAnuNPX1vC0NL%2B7AgoihJCqLEbZN4TxEGX%2BKxM%2By7lnP%7Ctkp%3ABFBM-qfe-cVg,"STEM Kids Tabletop Telescope & Tripod Stand, 360mm x 50mm (18x-27x-60x-90x Zoom)",https://i.ebayimg.com/thumbs/images/g/hEwAAOSwMGFhtX5N/s-l225.jpg,$29.99,Brand New
